t,Ek,Ep,Ec
0.235,4.25583e-10,7.12911e-09,7.55469e-09
0.236,4.29145e-10,7.12569e-09,7.55483e-09
0.237,4.32721e-10,7.12226e-09,7.55498e-09
0.238,4.36312e-10,7.11881e-09,7.55512e-09
0.239,4.39916e-10,7.11535e-09,7.55527e-09
0.24,4.43534e-10,7.11188e-09,7.55541e-09
0.241,4.47166e-10,7.10839e-09,7.55556e-09
0.242,4.50812e-10,7.10489e-09,7.5557e-09
0.243,4.54472e-10,7.10138e-09,7.55585e-09
0.244,4.58146e-10,7.09785e-09,7.556e-09
0.245,4.61833e-10,7.09431e-09,7.55614e-09
0.246,4.65535e-10,7.09076e-09,7.55629e-09
0.247,4.6925e-10,7.08719e-09,7.55644e-09
0.248,4.72979e-10,7.08361e-09,7.55659e-09
0.249,4.76722e-10,7.08002e-09,7.55674e-09
0.25,4.80479e-10,7.07641e-09,7.55689e-09
0.251,4.8425e-10,7.07279e-09,7.55704e-09
0.252,4.88034e-10,7.06916e-09,7.55719e-09
0.253,4.91832e-10,7.06551e-09,7.55735e-09
0.254,4.95644e-10,7.06185e-09,7.5575e-09
0.255,4.9947e-10,7.05818e-09,7.55765e-09
0.256,5.03309e-10,7.0545e-09,7.55781e-09
0.257,5.07162e-10,7.0508e-09,7.55796e-09
0.258,5.11028e-10,7.04709e-09,7.55812e-09
0.259,5.14909e-10,7.04336e-09,7.55827e-09
0.26,5.18803e-10,7.03962e-09,7.55843e-09
0.261,5.2271e-10,7.03587e-09,7.55858e-09
0.262,5.26631e-10,7.03211e-09,7.55874e-09
0.263,5.30566e-10,7.02833e-09,7.5589e-09
0.264,5.34514e-10,7.02454e-09,7.55906e-09
0.265,5.38476e-10,7.02074e-09,7.55922e-09
0.266,5.42452e-10,7.01692e-09,7.55938e-09
0.267,5.46441e-10,7.01309e-09,7.55954e-09
0.268,5.50443e-10,7.00925e-09,7.5597e-09
0.269,5.54459e-10,7.0054e-09,7.55986e-09
0.27,5.58489e-10,7.00153e-09,7.56002e-09
0.271,5.62532e-10,6.99765e-09,7.56018e-09
0.272,5.66588e-10,6.99375e-09,7.56034e-09
0.273,5.70658e-10,6.98985e-09,7.56051e-09
0.274,5.74741e-10,6.98593e-09,7.56067e-09
0.275,5.78838e-10,6.982e-09,7.56083e-09
0.276,5.82948e-10,6.97805e-09,7.561e-09
0.277,5.87072e-10,6.97409e-09,7.56116e-09
0.278,5.91209e-10,6.97012e-09,7.56133e-09
0.279,5.95359e-10,6.96614e-09,7.5615e-09
0.28,5.99522e-10,6.96214e-09,7.56166e-09
0.281,6.03699e-10,6.95813e-09,7.56183e-09
0.282,6.07889e-10,6.95411e-09,7.562e-09
0.283,6.12092e-10,6.95008e-09,7.56217e-09
0.284,6.16309e-10,6.94603e-09,7.56234e-09
0.285,6.20539e-10,6.94197e-09,7.56251e-09
0.286,6.24782e-10,6.93789e-09,7.56268e-09
0.287,6.29038e-10,6.93381e-09,7.56285e-09
0.288,6.33308e-10,6.92971e-09,7.56302e-09
0.289,6.3759e-10,6.9256e-09,7.56319e-09
0.29,6.41886e-10,6.92148e-09,7.56336e-09
0.291,6.46195e-10,6.91734e-09,7.56354e-09
0.292,6.50517e-10,6.91319e-09,7.56371e-09
0.293,6.54852e-10,6.90903e-09,7.56388e-09
0.294,6.592e-10,6.90486e-09,7.56406e-09
0.295,6.63562e-10,6.90067e-09,7.56423e-09
0.296,6.67936e-10,6.89647e-09,7.56441e-09
0.297,6.72324e-10,6.89226e-09,7.56458e-09
